;ID;Latency;Enjoyed;Caused the Movements;Lateness;Over-Anticipation;Wrong Distance;Wrong Orientation;Jitter;Jumps;Spring Effect;Stick
0;1;16.67;3.5714285714285716;3.5714285714285716;2.4285714285714284;2.4285714285714284;2.5714285714285716;2.7142857142857144;3.142857142857143;3.142857142857143;3.142857142857143;2.7142857142857144
1;1;-50.0;4.25;3.875;1.25;1.25;1.375;1.375;2.375;2.5;2.125;1.25
2;1;-16.67;4.285714285714286;3.7142857142857144;1.7142857142857142;1.7142857142857142;1.8571428571428572;1.7142857142857142;2.5714285714285716;2.5714285714285716;2.2857142857142856;2.142857142857143
3;1;50.0;3.3333333333333335;3.3333333333333335;2.6666666666666665;2.0;2.5;2.0;3.0;3.0;3.0;1.8333333333333333
4;1;0.0;4.142857142857143;3.5714285714285716;2.0;2.142857142857143;1.8571428571428572;1.8571428571428572;2.5714285714285716;2.7142857142857144;2.5714285714285716;1.8571428571428572
5;2;16.67;3.5714285714285716;3.4285714285714284;2.0;2.4285714285714284;2.5714285714285716;2.142857142857143;3.2857142857142856;3.2857142857142856;3.2857142857142856;1.8571428571428572
6;2;-50.0;3.5714285714285716;3.142857142857143;2.0;3.4285714285714284;2.857142857142857;2.0;3.2857142857142856;3.7142857142857144;3.4285714285714284;2.0
7;2;-16.67;3.4285714285714284;3.4285714285714284;2.142857142857143;2.5714285714285716;2.2857142857142856;2.2857142857142856;3.142857142857143;3.142857142857143;3.0;1.5714285714285714
8;2;50.0;3.4285714285714284;3.2857142857142856;1.8571428571428572;2.2857142857142856;2.2857142857142856;2.142857142857143;2.857142857142857;3.142857142857143;2.7142857142857144;1.8571428571428572
9;2;0.0;3.7142857142857144;3.5714285714285716;1.5714285714285714;2.2857142857142856;1.8571428571428572;2.0;2.857142857142857;2.5714285714285716;3.142857142857143;1.5714285714285714
10;3;16.67;3.8333333333333335;3.0;3.1666666666666665;2.6666666666666665;3.5;3.8333333333333335;4.0;3.3333333333333335;3.8333333333333335;4.0
11;3;-50.0;4.0;4.0;3.2;3.8;3.6;3.6;3.2;2.8;3.2;2.8
12;3;-16.67;3.75;3.5;2.875;3.0;3.375;3.25;3.875;3.25;3.25;3.25
13;3;50.0;3.888888888888889;3.4444444444444446;3.3333333333333335;3.7777777777777777;3.3333333333333335;3.4444444444444446;3.888888888888889;3.4444444444444446;3.888888888888889;3.5555555555555554
14;3;0.0;4.25;4.125;2.75;2.75;2.625;3.0;3.5;2.25;3.125;3.25
15;4;16.67;2.5714285714285716;4.142857142857143;2.5714285714285716;2.857142857142857;3.7142857142857144;1.4285714285714286;2.5714285714285716;3.2857142857142856;3.5714285714285716;1.1428571428571428
16;4;-50.0;2.7142857142857144;3.4285714285714284;3.4285714285714284;3.7142857142857144;3.7142857142857144;2.142857142857143;4.285714285714286;3.7142857142857144;3.7142857142857144;1.2857142857142858
17;4;-16.67;2.857142857142857;4.0;2.7142857142857144;3.5714285714285716;3.4285714285714284;1.7142857142857142;3.7142857142857144;3.5714285714285716;3.5714285714285716;1.0
18;4;50.0;3.2857142857142856;3.7142857142857144;3.0;3.0;3.2857142857142856;2.2857142857142856;3.142857142857143;2.2857142857142856;3.4285714285714284;1.4285714285714286
19;4;0.0;3.0;4.285714285714286;2.142857142857143;2.7142857142857144;2.5714285714285716;1.5714285714285714;1.8571428571428572;2.142857142857143;2.5714285714285716;1.1428571428571428
20;5;16.67;2.857142857142857;3.142857142857143;3.5714285714285716;2.4285714285714284;2.7142857142857144;1.7142857142857142;2.0;3.5714285714285716;2.7142857142857144;1.1428571428571428
21;5;-50.0;3.0;3.0;1.8571428571428572;3.7142857142857144;3.0;1.2857142857142858;2.142857142857143;3.857142857142857;2.4285714285714284;1.4285714285714286
22;5;-16.67;3.5714285714285716;2.7142857142857144;2.4285714285714284;3.7142857142857144;2.857142857142857;1.7142857142857142;2.4285714285714284;3.857142857142857;3.142857142857143;1.5714285714285714
23;5;50.0;2.142857142857143;2.4285714285714284;4.714285714285714;2.7142857142857144;3.7142857142857144;1.4285714285714286;3.2857142857142856;4.142857142857143;3.4285714285714284;1.2857142857142858
24;5;0.0;3.5714285714285716;3.142857142857143;2.4285714285714284;2.4285714285714284;3.0;1.1428571428571428;2.4285714285714284;3.7142857142857144;2.4285714285714284;1.0
25;6;16.67;4.333333333333333;4.0;1.6666666666666667;2.5;1.6666666666666667;1.3333333333333333;1.5;3.1666666666666665;2.0;1.0
26;6;-50.0;4.125;4.25;2.5;3.625;2.5;1.75;1.5;3.125;2.125;1.125
27;6;-16.67;4.714285714285714;4.714285714285714;2.2857142857142856;2.5714285714285716;2.0;1.5714285714285714;1.1428571428571428;2.857142857142857;1.4285714285714286;1.0
28;6;50.0;4.714285714285714;4.714285714285714;2.0;2.857142857142857;2.4285714285714284;1.8571428571428572;1.2857142857142858;3.142857142857143;1.4285714285714286;1.0
29;6;0.0;4.142857142857143;4.428571428571429;2.857142857142857;4.0;2.857142857142857;2.0;1.5714285714285714;4.0;2.2857142857142856;1.2857142857142858
30;7;16.67;1.2857142857142858;1.0;4.285714285714286;3.142857142857143;3.4285714285714284;3.4285714285714284;3.5714285714285716;3.857142857142857;4.142857142857143;3.7142857142857144
31;7;-50.0;2.142857142857143;1.0;1.7142857142857142;3.142857142857143;3.142857142857143;1.8571428571428572;2.4285714285714284;2.2857142857142856;2.142857142857143;2.857142857142857
32;7;-16.67;2.0;1.5714285714285714;2.5714285714285716;2.7142857142857144;2.857142857142857;3.142857142857143;3.142857142857143;3.7142857142857144;3.5714285714285716;2.7142857142857144
33;7;50.0;1.8571428571428572;1.0;3.4285714285714284;4.0;4.142857142857143;2.142857142857143;3.4285714285714284;3.857142857142857;2.5714285714285716;2.857142857142857
34;7;0.0;2.4285714285714284;1.1428571428571428;3.142857142857143;3.0;2.857142857142857;2.142857142857143;3.0;3.0;2.5714285714285716;2.5714285714285716
35;8;16.67;1.8571428571428572;2.0;2.142857142857143;3.142857142857143;2.2857142857142856;2.0;1.5714285714285714;2.857142857142857;1.2857142857142858;1.5714285714285714
36;8;-50.0;1.5714285714285714;2.0;1.2857142857142858;4.857142857142857;2.5714285714285716;2.4285714285714284;2.7142857142857144;3.2857142857142856;1.4285714285714286;1.0
37;8;-16.67;2.2857142857142856;2.2857142857142856;3.142857142857143;2.5714285714285716;2.857142857142857;1.5714285714285714;2.4285714285714284;3.2857142857142856;1.5714285714285714;1.1428571428571428
38;8;50.0;2.4285714285714284;3.4285714285714284;2.5714285714285716;1.7142857142857142;1.7142857142857142;1.4285714285714286;1.7142857142857142;3.0;2.2857142857142856;1.1428571428571428
39;8;0.0;2.0;2.142857142857143;2.2857142857142856;3.4285714285714284;3.2857142857142856;2.142857142857143;2.5714285714285716;3.857142857142857;1.5714285714285714;1.0
40;9;16.67;1.8571428571428572;2.0;3.142857142857143;4.142857142857143;4.142857142857143;2.857142857142857;4.285714285714286;4.714285714285714;4.714285714285714;3.4285714285714284
41;9;-50.0;1.4285714285714286;1.4285714285714286;3.0;4.285714285714286;4.571428571428571;2.857142857142857;3.857142857142857;4.571428571428571;4.714285714285714;4.0
42;9;-16.67;1.5714285714285714;1.5714285714285714;3.2857142857142856;4.285714285714286;3.857142857142857;3.0;4.285714285714286;4.714285714285714;4.571428571428571;3.4285714285714284
43;9;50.0;2.0;1.7142857142857142;2.0;3.857142857142857;4.142857142857143;1.7142857142857142;3.857142857142857;4.571428571428571;4.428571428571429;3.5714285714285716
44;9;0.0;1.4285714285714286;2.0;4.0;4.285714285714286;4.0;3.857142857142857;3.7142857142857144;4.714285714285714;4.428571428571429;3.5714285714285716
45;10;16.67;2.4285714285714284;2.2857142857142856;3.7142857142857144;3.142857142857143;2.5714285714285716;1.8571428571428572;3.5714285714285716;1.7142857142857142;1.4285714285714286;1.0
46;10;-50.0;3.5714285714285716;3.5714285714285716;2.0;3.5714285714285716;3.0;1.5714285714285714;3.2857142857142856;2.0;1.4285714285714286;1.0
47;10;-16.67;3.5714285714285716;3.7142857142857144;2.857142857142857;3.142857142857143;2.7142857142857144;1.5714285714285714;3.2857142857142856;1.4285714285714286;1.2857142857142858;1.1428571428571428
48;10;50.0;2.142857142857143;2.0;4.142857142857143;3.7142857142857144;3.2857142857142856;1.7142857142857142;3.4285714285714284;2.0;1.0;1.0
49;10;0.0;3.2857142857142856;3.142857142857143;3.0;3.2857142857142856;2.7142857142857144;1.7142857142857142;3.0;1.7142857142857142;1.2857142857142858;1.0
50;11;16.67;3.0;2.142857142857143;2.0;2.5714285714285716;2.2857142857142856;1.4285714285714286;2.0;2.4285714285714284;1.2857142857142858;1.2857142857142858
51;11;-50.0;2.4285714285714284;1.7142857142857142;2.4285714285714284;3.4285714285714284;3.0;1.2857142857142858;1.7142857142857142;2.7142857142857144;1.5714285714285714;1.7142857142857142
52;11;-16.67;2.5714285714285716;1.8571428571428572;1.8571428571428572;2.857142857142857;2.857142857142857;1.7142857142857142;1.1428571428571428;3.2857142857142856;1.2857142857142858;1.1428571428571428
53;11;50.0;3.2857142857142856;2.2857142857142856;1.5714285714285714;2.4285714285714284;1.5714285714285714;1.8571428571428572;1.7142857142857142;1.8571428571428572;1.2857142857142858;1.4285714285714286
54;11;0.0;3.2857142857142856;2.2857142857142856;1.7142857142857142;2.142857142857143;1.7142857142857142;1.2857142857142858;1.7142857142857142;2.857142857142857;2.0;1.2857142857142858
55;12;16.67;3.857142857142857;4.142857142857143;1.2857142857142858;2.2857142857142856;1.2857142857142858;1.1428571428571428;1.2857142857142858;2.7142857142857144;1.8571428571428572;1.0
56;12;-50.0;3.2857142857142856;3.4285714285714284;1.4285714285714286;2.857142857142857;1.7142857142857142;2.142857142857143;1.4285714285714286;3.2857142857142856;1.8571428571428572;1.1428571428571428
57;12;-16.67;3.5714285714285716;3.5714285714285716;1.1428571428571428;3.4285714285714284;1.1428571428571428;1.2857142857142858;1.1428571428571428;3.4285714285714284;1.5714285714285714;1.0
58;12;50.0;3.5714285714285716;3.857142857142857;1.8571428571428572;3.2857142857142856;1.5714285714285714;1.8571428571428572;1.4285714285714286;3.4285714285714284;1.4285714285714286;1.0
59;12;0.0;3.7142857142857144;3.857142857142857;1.0;3.4285714285714284;1.5714285714285714;1.0;1.0;3.2857142857142856;1.7142857142857142;1.0
60;13;16.67;3.857142857142857;2.5714285714285716;4.142857142857143;4.0;3.4285714285714284;3.142857142857143;4.714285714285714;4.714285714285714;4.142857142857143;4.0
61;13;-50.0;3.7142857142857144;2.2857142857142856;3.857142857142857;3.857142857142857;3.5714285714285716;3.857142857142857;4.714285714285714;4.714285714285714;4.142857142857143;4.142857142857143
62;13;-16.67;4.0;2.5714285714285716;3.5714285714285716;3.7142857142857144;3.2857142857142856;2.857142857142857;4.142857142857143;4.428571428571429;4.428571428571429;3.4285714285714284
63;13;50.0;3.5714285714285716;1.5714285714285714;4.428571428571429;4.428571428571429;4.285714285714286;4.0;4.571428571428571;4.571428571428571;4.428571428571429;4.285714285714286
64;13;0.0;3.7142857142857144;2.142857142857143;3.5714285714285716;4.0;3.857142857142857;3.5714285714285716;4.571428571428571;4.571428571428571;4.428571428571429;4.285714285714286
65;14;16.67;4.428571428571429;4.142857142857143;3.5714285714285716;1.4285714285714286;3.2857142857142856;3.142857142857143;3.5714285714285716;3.857142857142857;2.7142857142857144;1.1428571428571428
66;14;-50.0;4.857142857142857;3.7142857142857144;3.4285714285714284;3.4285714285714284;4.428571428571429;2.4285714285714284;3.857142857142857;3.142857142857143;2.2857142857142856;1.1428571428571428
67;14;-16.67;4.285714285714286;3.5714285714285716;3.142857142857143;2.857142857142857;3.857142857142857;2.5714285714285716;2.142857142857143;4.142857142857143;2.142857142857143;1.8571428571428572
68;14;50.0;4.571428571428571;4.285714285714286;2.857142857142857;1.7142857142857142;2.857142857142857;1.7142857142857142;4.0;2.2857142857142856;3.142857142857143;2.0
69;14;0.0;4.571428571428571;4.142857142857143;3.7142857142857144;2.2857142857142856;3.142857142857143;2.142857142857143;2.7142857142857144;2.857142857142857;2.2857142857142856;1.8571428571428572
70;15;16.67;2.857142857142857;3.0;2.5714285714285716;4.142857142857143;3.5714285714285716;3.7142857142857144;3.142857142857143;4.285714285714286;4.142857142857143;1.8571428571428572
71;15;-50.0;2.2857142857142856;2.857142857142857;2.2857142857142856;3.4285714285714284;3.0;2.857142857142857;2.857142857142857;3.857142857142857;4.285714285714286;2.142857142857143
72;15;-16.67;3.142857142857143;3.4285714285714284;2.142857142857143;3.2857142857142856;2.5714285714285716;2.7142857142857144;2.5714285714285716;3.2857142857142856;3.2857142857142856;1.2857142857142858
73;15;50.0;3.142857142857143;2.5714285714285716;2.142857142857143;4.0;3.2857142857142856;3.857142857142857;2.857142857142857;3.4285714285714284;4.142857142857143;1.1428571428571428
74;15;0.0;3.142857142857143;3.0;2.142857142857143;2.5714285714285716;2.857142857142857;2.4285714285714284;2.7142857142857144;3.142857142857143;2.7142857142857144;1.5714285714285714
75;16;16.67;3.857142857142857;3.7142857142857144;1.5714285714285714;2.0;1.8571428571428572;1.5714285714285714;1.1428571428571428;2.142857142857143;1.0;1.1428571428571428
76;16;-50.0;4.0;4.0;1.5714285714285714;1.8571428571428572;1.5714285714285714;2.142857142857143;1.0;1.8571428571428572;1.0;1.0
77;16;-16.67;3.857142857142857;4.0;2.0;1.8571428571428572;2.0;2.0;1.0;2.2857142857142856;1.0;1.0
78;16;50.0;4.142857142857143;4.0;1.8571428571428572;1.8571428571428572;2.0;1.8571428571428572;1.0;2.0;1.0;1.0
79;16;0.0;4.0;4.0;1.8571428571428572;1.8571428571428572;1.8571428571428572;1.8571428571428572;1.1428571428571428;1.7142857142857142;1.0;1.0
80;17;16.67;5.0;2.142857142857143;1.4285714285714286;1.1428571428571428;1.4285714285714286;1.0;2.2857142857142856;1.1428571428571428;1.4285714285714286;1.2857142857142858
81;17;-50.0;5.0;2.142857142857143;1.4285714285714286;1.1428571428571428;2.0;1.5714285714285714;2.4285714285714284;1.5714285714285714;1.7142857142857142;1.5714285714285714
82;17;-16.67;4.857142857142857;2.5714285714285716;1.8571428571428572;1.8571428571428572;2.5714285714285716;2.0;2.857142857142857;2.0;1.7142857142857142;1.7142857142857142
83;17;50.0;5.0;2.2857142857142856;1.4285714285714286;1.2857142857142858;1.5714285714285714;1.2857142857142858;2.2857142857142856;1.4285714285714286;1.8571428571428572;1.2857142857142858
84;17;0.0;5.0;2.2857142857142856;1.5714285714285714;1.4285714285714286;1.5714285714285714;1.1428571428571428;2.142857142857143;1.2857142857142858;1.8571428571428572;1.4285714285714286
85;18;16.67;3.125;3.0;1.25;1.375;2.125;2.75;4.0;2.875;2.5;1.0
86;18;-50.0;4.6;3.4;1.2;1.6;1.8;1.0;2.6;1.6;1.2;1.0
87;18;-16.67;4.285714285714286;3.5714285714285716;1.1428571428571428;1.7142857142857142;1.8571428571428572;1.2857142857142858;2.5714285714285716;1.8571428571428572;1.1428571428571428;1.0
88;18;50.0;3.6;3.0;2.2;1.4;2.2;2.8;4.2;2.6;2.2;1.4
89;18;0.0;3.2;3.6;1.5;1.5;2.4;2.4;3.4;2.8;2.2;1.2
90;19;16.67;3.2857142857142856;4.0;2.142857142857143;3.0;2.5714285714285716;1.7142857142857142;2.2857142857142856;1.8571428571428572;2.7142857142857144;1.4285714285714286
91;19;-50.0;3.142857142857143;3.4285714285714284;3.0;3.4285714285714284;3.0;1.8571428571428572;2.4285714285714284;2.4285714285714284;2.7142857142857144;2.5714285714285716
92;19;-16.67;3.5714285714285716;4.0;2.2857142857142856;2.857142857142857;1.8571428571428572;1.8571428571428572;2.5714285714285716;2.4285714285714284;2.857142857142857;2.2857142857142856
93;19;50.0;3.4285714285714284;4.285714285714286;2.142857142857143;2.4285714285714284;1.8571428571428572;1.2857142857142858;2.7142857142857144;2.0;2.0;2.142857142857143
94;19;0.0;3.4285714285714284;4.0;2.142857142857143;2.857142857142857;2.2857142857142856;1.8571428571428572;2.5714285714285716;2.4285714285714284;2.7142857142857144;2.4285714285714284
95;20;16.67;5.0;3.75;2.625;4.375;2.625;2.25;3.75;2.5;3.5;1.875
96;20;-50.0;5.0;3.2857142857142856;2.2857142857142856;4.571428571428571;3.4285714285714284;2.5714285714285716;3.857142857142857;2.857142857142857;4.428571428571429;2.0
97;20;-16.67;5.0;3.8333333333333335;2.0;4.166666666666667;3.0;2.1666666666666665;3.8333333333333335;2.6666666666666665;4.0;1.3333333333333333
98;20;50.0;5.0;3.2857142857142856;2.4285714285714284;4.571428571428571;3.142857142857143;2.0;3.857142857142857;2.0;3.857142857142857;2.0
99;20;0.0;5.0;3.5714285714285716;2.4285714285714284;4.0;2.5714285714285716;2.0;3.0;2.7142857142857144;4.142857142857143;1.7142857142857142
100;21;16.67;3.142857142857143;4.285714285714286;2.2857142857142856;2.2857142857142856;1.5714285714285714;2.2857142857142856;1.8571428571428572;2.4285714285714284;1.4285714285714286;1.7142857142857142
101;21;-50.0;3.4285714285714284;4.285714285714286;2.2857142857142856;2.4285714285714284;2.2857142857142856;2.0;2.0;3.0;1.7142857142857142;1.7142857142857142
102;21;-16.67;4.0;4.571428571428571;2.0;1.8571428571428572;1.8571428571428572;1.2857142857142858;1.5714285714285714;2.2857142857142856;1.5714285714285714;1.7142857142857142
103;21;50.0;3.5714285714285716;4.571428571428571;2.142857142857143;2.0;2.0;2.142857142857143;2.5714285714285716;3.142857142857143;1.5714285714285714;1.5714285714285714
104;21;0.0;3.7142857142857144;4.285714285714286;2.2857142857142856;2.2857142857142856;2.0;1.7142857142857142;2.142857142857143;2.2857142857142856;1.5714285714285714;1.8571428571428572
105;22;16.67;3.0;4.0;2.142857142857143;4.0;3.142857142857143;1.7142857142857142;1.7142857142857142;2.7142857142857144;1.4285714285714286;1.0
106;22;-50.0;2.7142857142857144;4.142857142857143;2.2857142857142856;3.857142857142857;3.0;1.8571428571428572;1.2857142857142858;2.7142857142857144;1.4285714285714286;1.1428571428571428
107;22;-16.67;3.0;4.142857142857143;1.8571428571428572;3.7142857142857144;3.0;1.8571428571428572;1.7142857142857142;3.142857142857143;1.2857142857142858;1.0
108;22;50.0;3.0;4.0;2.4285714285714284;4.0;3.142857142857143;1.8571428571428572;1.5714285714285714;3.0;1.0;1.0
109;22;0.0;2.7142857142857144;3.7142857142857144;1.8571428571428572;4.142857142857143;3.142857142857143;2.142857142857143;1.4285714285714286;2.857142857142857;1.7142857142857142;1.1428571428571428
110;23;16.67;3.2857142857142856;3.857142857142857;2.5714285714285716;3.2857142857142856;3.142857142857143;2.857142857142857;3.857142857142857;3.0;2.142857142857143;2.142857142857143
111;23;-50.0;3.4285714285714284;4.0;2.0;3.142857142857143;2.857142857142857;2.4285714285714284;3.5714285714285716;2.4285714285714284;2.2857142857142856;2.142857142857143
112;23;-16.67;3.4285714285714284;4.0;2.4285714285714284;3.0;2.7142857142857144;2.2857142857142856;3.5714285714285716;2.857142857142857;2.0;2.0
113;23;50.0;3.0;3.857142857142857;2.0;3.2857142857142856;2.857142857142857;3.0;4.0;2.4285714285714284;2.0;2.0
114;23;0.0;3.142857142857143;4.142857142857143;2.142857142857143;3.142857142857143;2.857142857142857;2.857142857142857;3.7142857142857144;2.5714285714285716;2.142857142857143;2.0
115;24;16.67;3.2857142857142856;3.5714285714285716;2.4285714285714284;2.5714285714285716;3.0;2.142857142857143;3.0;2.857142857142857;2.142857142857143;2.142857142857143
116;24;-50.0;3.0;3.857142857142857;3.142857142857143;2.5714285714285716;2.7142857142857144;2.7142857142857144;3.4285714285714284;2.7142857142857144;2.4285714285714284;2.142857142857143
117;24;-16.67;3.5714285714285716;3.857142857142857;2.5714285714285716;2.2857142857142856;2.0;2.0;3.4285714285714284;2.5714285714285716;2.0;1.8571428571428572
118;24;50.0;3.7142857142857144;4.285714285714286;2.4285714285714284;2.142857142857143;2.142857142857143;2.0;2.5714285714285716;2.4285714285714284;2.0;1.7142857142857142
119;24;0.0;3.4285714285714284;3.5714285714285716;2.857142857142857;2.2857142857142856;2.4285714285714284;2.0;2.7142857142857144;2.142857142857143;2.142857142857143;2.0
120;25;16.67;2.5714285714285716;3.0;2.0;3.142857142857143;3.4285714285714284;1.7142857142857142;3.142857142857143;2.5714285714285716;3.4285714285714284;1.0
121;25;-50.0;2.0;2.142857142857143;1.5714285714285714;4.0;3.4285714285714284;1.8571428571428572;2.857142857142857;4.571428571428571;4.0;1.0
122;25;-16.67;3.0;2.7142857142857144;1.0;3.4285714285714284;2.4285714285714284;1.2857142857142858;2.5714285714285716;2.857142857142857;3.4285714285714284;1.0
123;25;50.0;2.7142857142857144;2.5714285714285716;2.2857142857142856;3.4285714285714284;3.7142857142857144;2.142857142857143;2.857142857142857;3.4285714285714284;2.5714285714285716;1.0
124;25;0.0;2.857142857142857;3.0;1.4285714285714286;3.4285714285714284;3.142857142857143;1.7142857142857142;2.5714285714285716;3.857142857142857;2.857142857142857;1.1428571428571428
125;26;16.67;3.142857142857143;2.857142857142857;2.5714285714285716;3.2857142857142856;3.2857142857142856;2.5714285714285716;4.0;4.0;3.142857142857143;1.7142857142857142
126;26;-50.0;2.5714285714285716;2.857142857142857;1.8571428571428572;4.0;3.7142857142857144;3.142857142857143;3.4285714285714284;3.857142857142857;2.857142857142857;1.7142857142857142
127;26;-16.67;3.5714285714285716;2.5714285714285716;2.4285714285714284;3.5714285714285716;4.142857142857143;2.2857142857142856;3.142857142857143;2.857142857142857;2.857142857142857;1.5714285714285714
128;26;50.0;2.5714285714285716;2.7142857142857144;3.142857142857143;4.0;4.0;3.0;4.0;4.0;3.0;2.4285714285714284
129;26;0.0;3.5714285714285716;3.4285714285714284;2.7142857142857144;3.857142857142857;3.7142857142857144;2.2857142857142856;2.7142857142857144;3.0;3.142857142857143;1.5714285714285714
130;27;16.67;2.857142857142857;2.4285714285714284;3.857142857142857;3.7142857142857144;4.142857142857143;4.571428571428571;4.285714285714286;4.714285714285714;4.428571428571429;4.285714285714286
131;27;-50.0;2.5714285714285716;2.0;3.7142857142857144;3.857142857142857;3.857142857142857;4.571428571428571;3.7142857142857144;4.714285714285714;4.571428571428571;3.7142857142857144
132;27;-16.67;2.7142857142857144;3.0;3.4285714285714284;3.5714285714285716;4.0;4.142857142857143;4.428571428571429;4.285714285714286;4.428571428571429;3.4285714285714284
133;27;50.0;3.0;2.5714285714285716;3.4285714285714284;3.4285714285714284;3.857142857142857;4.285714285714286;3.4285714285714284;4.285714285714286;4.142857142857143;3.4285714285714284
134;27;0.0;2.7142857142857144;2.7142857142857144;3.857142857142857;3.4285714285714284;4.0;4.428571428571429;3.7142857142857144;4.857142857142857;4.571428571428571;4.285714285714286
135;28;16.67;2.857142857142857;3.2857142857142856;2.142857142857143;2.7142857142857144;2.2857142857142856;1.7142857142857142;2.2857142857142856;2.0;2.0;1.4285714285714286
136;28;-50.0;3.2857142857142856;2.7142857142857144;2.2857142857142856;2.4285714285714284;2.4285714285714284;2.2857142857142856;2.857142857142857;2.4285714285714284;2.2857142857142856;1.7142857142857142
137;28;-16.67;3.4285714285714284;3.142857142857143;2.142857142857143;2.2857142857142856;2.4285714285714284;1.8571428571428572;2.4285714285714284;2.4285714285714284;2.142857142857143;1.4285714285714286
138;28;50.0;2.857142857142857;3.0;2.4285714285714284;2.2857142857142856;1.8571428571428572;1.7142857142857142;3.0;1.8571428571428572;2.2857142857142856;1.8571428571428572
139;28;0.0;3.0;3.142857142857143;2.4285714285714284;2.2857142857142856;2.142857142857143;2.2857142857142856;2.7142857142857144;2.2857142857142856;2.2857142857142856;2.0
140;29;16.67;3.0;2.875;2.0;4.125;3.625;3.0;3.125;3.875;3.25;3.125
141;29;-50.0;3.4285714285714284;3.2857142857142856;2.5714285714285716;3.7142857142857144;2.2857142857142856;2.2857142857142856;3.4285714285714284;3.5714285714285716;3.857142857142857;3.142857142857143
142;29;-16.67;4.166666666666667;4.0;4.333333333333333;2.5;2.1666666666666665;2.0;2.6666666666666665;3.3333333333333335;2.5;2.6666666666666665
143;29;50.0;3.857142857142857;2.7142857142857144;3.0;2.857142857142857;3.142857142857143;2.5714285714285716;3.4285714285714284;3.5714285714285716;3.7142857142857144;3.2857142857142856
144;29;0.0;3.2857142857142856;3.142857142857143;2.142857142857143;4.142857142857143;2.857142857142857;2.7142857142857144;2.857142857142857;3.4285714285714284;3.7142857142857144;3.0
145;30;16.67;3.7142857142857144;2.857142857142857;3.142857142857143;2.5714285714285716;2.0;2.0;2.142857142857143;2.4285714285714284;2.5714285714285716;1.7142857142857142
146;30;-50.0;2.857142857142857;2.7142857142857144;1.7142857142857142;3.142857142857143;2.4285714285714284;2.857142857142857;3.2857142857142856;3.5714285714285716;2.142857142857143;1.7142857142857142
147;30;-16.67;3.857142857142857;3.7142857142857144;1.8571428571428572;3.142857142857143;2.7142857142857144;2.7142857142857144;2.5714285714285716;2.5714285714285716;2.0;1.7142857142857142
148;30;50.0;3.2857142857142856;3.142857142857143;3.4285714285714284;2.0;2.0;2.0;2.7142857142857144;2.5714285714285716;2.7142857142857144;2.2857142857142856
149;30;0.0;3.142857142857143;3.142857142857143;2.2857142857142856;3.2857142857142856;2.7142857142857144;2.7142857142857144;3.142857142857143;3.142857142857143;2.142857142857143;2.142857142857143
150;31;16.67;3.6666666666666665;3.5;1.6666666666666667;3.1666666666666665;4.0;2.0;2.3333333333333335;2.8333333333333335;2.8333333333333335;2.8333333333333335
151;31;-50.0;3.75;2.875;2.125;3.75;3.875;2.125;2.75;3.375;3.875;2.125
152;31;-16.67;4.0;3.8333333333333335;2.6666666666666665;3.1666666666666665;4.166666666666667;2.5;2.8333333333333335;3.6666666666666665;3.3333333333333335;3.1666666666666665
153;31;50.0;3.75;3.375;2.25;4.0;4.5;2.625;3.375;3.75;3.75;4.375
154;31;0.0;4.0;3.4285714285714284;2.7142857142857144;3.2857142857142856;4.714285714285714;3.2857142857142856;3.142857142857143;4.0;4.0;3.2857142857142856
