;Particpiant;-50.0_2.9607843137254903;-50.0_3.3555555555555556;-50.0_3.8227848101265822;-50.0_4.4411764705882355;-50.0_5.298245614035087;-50.0_5.911764705882353;-50.0_6.7;-50.0_6.711111111111111;-50.0_7.632911392405063;-50.0_8.867647058823529;-50.0_8.872549019607844;-50.0_8.882352941176471;-50.0_10.055555555555555;-50.0_10.578947368421053;-50.0_11.455696202531646;-50.0_11.833333333333334;-50.0_13.308823529411764;-50.0_13.4;-50.0_13.411111111111111;-50.0_15.278481012658228;-50.0_15.87719298245614;-50.0_17.735294117647058;-50.0_17.75;-50.0_20.11111111111111;-50.0_21.17543859649123;-50.0_26.61764705882353;-50.0_26.822222222222223;-50.0_35.5;-16.67_2.9607843137254903;-16.67_3.3555555555555556;-16.67_3.8227848101265822;-16.67_4.4411764705882355;-16.67_5.298245614035087;-16.67_5.911764705882353;-16.67_6.7;-16.67_6.711111111111111;-16.67_7.632911392405063;-16.67_8.867647058823529;-16.67_8.872549019607844;-16.67_8.882352941176471;-16.67_10.055555555555555;-16.67_10.578947368421053;-16.67_11.455696202531646;-16.67_11.833333333333334;-16.67_13.308823529411764;-16.67_13.4;-16.67_13.411111111111111;-16.67_15.278481012658228;-16.67_15.87719298245614;-16.67_17.735294117647058;-16.67_17.75;-16.67_20.11111111111111;-16.67_21.17543859649123;-16.67_26.61764705882353;-16.67_26.822222222222223;-16.67_35.5;0.0_2.9607843137254903;0.0_3.3555555555555556;0.0_3.8227848101265822;0.0_4.4411764705882355;0.0_5.298245614035087;0.0_5.911764705882353;0.0_6.7;0.0_6.711111111111111;0.0_7.632911392405063;0.0_8.867647058823529;0.0_8.872549019607844;0.0_8.882352941176471;0.0_10.055555555555555;0.0_10.578947368421053;0.0_11.455696202531646;0.0_11.833333333333334;0.0_13.308823529411764;0.0_13.4;0.0_13.411111111111111;0.0_15.278481012658228;0.0_15.87719298245614;0.0_17.735294117647058;0.0_17.75;0.0_20.11111111111111;0.0_21.17543859649123;0.0_26.61764705882353;0.0_26.822222222222223;0.0_35.5;16.67_2.9607843137254903;16.67_3.3555555555555556;16.67_3.8227848101265822;16.67_4.4411764705882355;16.67_5.298245614035087;16.67_5.911764705882353;16.67_6.7;16.67_6.711111111111111;16.67_7.632911392405063;16.67_8.867647058823529;16.67_8.872549019607844;16.67_8.882352941176471;16.67_10.055555555555555;16.67_10.578947368421053;16.67_11.455696202531646;16.67_11.833333333333334;16.67_13.308823529411764;16.67_13.4;16.67_13.411111111111111;16.67_15.278481012658228;16.67_15.87719298245614;16.67_17.735294117647058;16.67_17.75;16.67_20.11111111111111;16.67_21.17543859649123;16.67_26.61764705882353;16.67_26.822222222222223;16.67_35.5;50.0_2.9607843137254903;50.0_3.3555555555555556;50.0_3.8227848101265822;50.0_4.4411764705882355;50.0_5.298245614035087;50.0_5.911764705882353;50.0_6.7;50.0_6.711111111111111;50.0_7.632911392405063;50.0_8.867647058823529;50.0_8.872549019607844;50.0_8.882352941176471;50.0_10.055555555555555;50.0_10.578947368421053;50.0_11.455696202531646;50.0_11.833333333333334;50.0_13.308823529411764;50.0_13.4;50.0_13.411111111111111;50.0_15.278481012658228;50.0_15.87719298245614;50.0_17.735294117647058;50.0_17.75;50.0_20.11111111111111;50.0_21.17543859649123;50.0_26.61764705882353;50.0_26.822222222222223;50.0_35.5
0;1.0;33.5;29.0;43.25;35.666666666666664;23.666666666666668;106.0;76.0;28.2;82.6;98.2;181.33333333333334;37.6;105.66666666666667;18.0;93.25;108.6;68.66666666666667;67.0;166.2;134.2;159.5;105.0;131.75;137.4;135.75;96.0;;149.25;44.5;67.33333333333333;42.5;27.6;55.0;35.25;62.5;53.0;92.75;54.0;101.8;46.0;100.75;36.5;137.75;182.2;118.6;88.83333333333333;153.0;125.66666666666667;143.8;1022.0;151.66666666666666;115.5;129.0;92.33333333333333;;182.5;42.2;52.666666666666664;42.6;36.0;27.5;54.5;70.0;27.0;53.5;87.0;117.0;45.5;144.66666666666666;44.5;138.6;78.5;148.33333333333334;72.5;220.66666666666666;216.25;129.66666666666666;117.5;101.6;117.66666666666667;166.0;119.33333333333333;184.66666666666666;160.5;27.0;29.666666666666668;31.0;27.0;126.0;54.0;55.75;42.666666666666664;70.0;72.0;106.8;74.16666666666667;81.0;74.8;84.25;970.3333333333334;235.75;126.0;367.6;145.4;2954.25;216.33333333333334;464.5;255.8;258.8;79.0;132.75;89.0;31.25;48.75;36.0;44.5;49.0;65.0;60.0;30.0;72.5;36.0;123.33333333333333;103.66666666666667;276.0;84.5;113.0;174.0;330.6666666666667;89.0;123.66666666666667;242.0;166.66666666666666;58.666666666666664;97.5;108.0;121.8;224.0;306.6666666666667;134.0
1;2.0;55.333333333333336;59.0;163.33333333333334;57.333333333333336;273.0;452.0;557.3333333333334;288.0;289.3333333333333;388.6666666666667;395.0;160.0;397.6666666666667;455.6666666666667;753.0;228.66666666666666;627.0;540.0;1123.6666666666667;762.6666666666666;952.6666666666666;395.0;377.6666666666667;393.6666666666667;385.3333333333333;582.3333333333334;339.3333333333333;801.6666666666666;254.0;91.33333333333333;84.0;168.0;172.0;288.0;604.0;65.33333333333333;241.0;114.0;213.66666666666666;133.0;354.0;378.3333333333333;707.0;819.0;377.6666666666667;239.0;559.0;861.0;904.6666666666666;540.0;705.6666666666666;726.6666666666666;1029.0;1673.0;1356.6666666666667;924.6666666666666;132.66666666666666;113.33333333333333;124.66666666666667;105.66666666666667;113.33333333333333;272.3333333333333;266.0;143.33333333333334;287.6666666666667;226.66666666666666;285.6666666666667;199.33333333333334;387.6666666666667;395.0;574.0;615.6666666666666;591.3333333333334;356.6666666666667;611.6666666666666;537.3333333333334;579.0;584.3333333333334;697.0;857.0;589.0;701.6666666666666;1318.0;648.6666666666666;134.66666666666666;205.33333333333334;643.6666666666666;209.66666666666666;145.0;356.0;418.3333333333333;169.66666666666666;267.3333333333333;447.3333333333333;754.6666666666666;172.66666666666666;619.3333333333334;696.3333333333334;849.3333333333334;1066.6666666666667;384.0;422.0;803.0;698.3333333333334;618.6666666666666;265.3333333333333;547.3333333333334;577.0;901.6666666666666;850.6666666666666;1014.6666666666666;1391.0;143.0;142.33333333333334;338.3333333333333;249.66666666666666;201.66666666666666;330.0;352.3333333333333;177.66666666666666;313.6666666666667;319.3333333333333;379.3333333333333;238.0;690.6666666666666;391.3333333333333;545.6666666666666;705.3333333333334;862.6666666666666;385.0;920.0;560.0;1103.0;668.6666666666666;1180.0;544.0;770.3333333333334;1777.0;1252.6666666666667;2022.0
2;3.0;85.0;164.75;176.0;85.5;467.0;292.6666666666667;236.0;306.0;423.0;;201.0;;335.0;354.5;301.0;611.0;226.0;150.0;262.0;567.3333333333334;1089.6666666666667;296.0;236.33333333333334;1474.3333333333333;233.0;317.2;3205.75;377.6666666666667;95.66666666666667;119.0;184.0;334.2;458.0;258.0;206.5;720.5;235.33333333333334;206.66666666666666;412.0;1230.25;328.6666666666667;1528.75;318.0;914.0;420.75;337.3333333333333;708.0;506.0;578.6666666666666;528.25;589.0;9029.0;5651.25;321.3333333333333;1963.3333333333333;592.6666666666666;90.66666666666667;450.1666666666667;248.75;183.0;329.6666666666667;591.0;289.6;175.25;1581.2857142857142;1034.8;343.6666666666667;258.3333333333333;297.8;604.8;582.3333333333334;495.5;2866.75;481.0;232.0;2171.6666666666665;823.0;324.0;1683.0;407.5;3536.1666666666665;661.75;768.0;375.0;148.5;87.5;119.0;276.3333333333333;163.0;229.33333333333334;269.2;145.0;457.6666666666667;367.5;394.0;434.3333333333333;;358.0;643.3333333333334;512.0;371.3333333333333;1077.75;568.25;4033.0;382.5;199.0;1252.5;5316.5;2622.75;489.6666666666667;559.0;576.5;228.75;170.0;258.5;350.6666666666667;1261.8;212.0;312.3333333333333;1348.5;357.0;270.5;469.6666666666667;392.6666666666667;1673.4;521.0;487.0;2457.8;3201.2;1074.0;2903.4;388.5;568.0;556.3333333333334;524.3333333333334;5440.333333333333;3634.25;601.0;5241.0;890.0
3;4.0;129.0;148.0;186.66666666666666;290.0;209.66666666666666;269.0;250.33333333333334;285.0;368.0;268.0;266.3333333333333;199.0;373.3333333333333;320.3333333333333;388.3333333333333;184.66666666666666;571.6666666666666;333.3333333333333;861.3333333333334;1088.0;468.3333333333333;455.3333333333333;923.3333333333334;483.3333333333333;214.66666666666666;276.0;861.3333333333334;824.6666666666666;158.33333333333334;233.33333333333334;181.33333333333334;324.0;305.0;508.3333333333333;1426.6666666666667;360.0;555.3333333333334;411.0;692.0;467.0;732.3333333333334;440.6666666666667;710.0;770.0;810.6666666666666;659.0;798.6666666666666;1171.0;474.6666666666667;574.3333333333334;1055.3333333333333;620.3333333333334;1225.6666666666667;773.6666666666666;746.6666666666666;689.0;194.66666666666666;288.0;314.0;192.66666666666666;237.0;485.0;397.0;293.3333333333333;418.6666666666667;302.0;636.3333333333334;177.0;690.0;620.6666666666666;1423.3333333333333;696.6666666666666;588.3333333333334;378.3333333333333;576.6666666666666;1307.0;920.3333333333334;656.3333333333334;742.6666666666666;784.0;580.3333333333334;671.0;663.3333333333334;1051.3333333333333;138.66666666666666;197.0;231.33333333333334;172.66666666666666;262.6666666666667;433.3333333333333;494.0;393.3333333333333;412.6666666666667;412.6666666666667;597.3333333333334;143.66666666666666;747.0;569.3333333333334;908.3333333333334;1047.3333333333333;760.0;316.6666666666667;882.6666666666666;971.6666666666666;583.6666666666666;526.0;966.3333333333334;816.3333333333334;923.0;885.6666666666666;1157.3333333333333;1170.6666666666667;170.33333333333334;209.66666666666666;201.66666666666666;228.0;1244.6666666666667;228.33333333333334;411.6666666666667;229.66666666666666;434.3333333333333;493.3333333333333;476.6666666666667;307.6666666666667;745.6666666666666;483.0;1401.0;885.0;728.3333333333334;625.6666666666666;637.3333333333334;1024.0;1025.0;484.6666666666667;553.3333333333334;820.0;857.6666666666666;8877.666666666666;767.3333333333334;1003.6666666666666
4;5.0;211.66666666666666;130.0;86.66666666666667;70.0;88.66666666666667;60.666666666666664;89.0;62.333333333333336;116.66666666666667;150.66666666666666;89.66666666666667;70.0;167.0;58.0;247.0;434.6666666666667;392.0;109.33333333333333;222.33333333333334;364.6666666666667;148.33333333333334;79.66666666666667;131.33333333333334;39.666666666666664;111.33333333333333;535.6666666666666;274.3333333333333;933.0;198.0;136.0;100.0;171.66666666666666;121.66666666666667;182.66666666666666;183.33333333333334;132.66666666666666;289.0;129.33333333333334;292.3333333333333;107.33333333333333;140.0;169.33333333333334;208.66666666666666;310.3333333333333;313.0;374.0;332.6666666666667;370.6666666666667;263.3333333333333;217.33333333333334;241.33333333333334;201.33333333333334;314.0;232.33333333333334;305.3333333333333;353.0;100.66666666666667;435.6666666666667;96.33333333333333;78.33333333333333;90.0;282.6666666666667;200.0;108.0;199.66666666666666;242.0;195.33333333333334;99.0;296.6666666666667;169.66666666666666;175.66666666666666;319.0;326.6666666666667;170.0;320.0;453.0;233.0;235.33333333333334;319.6666666666667;229.33333333333334;310.6666666666667;232.0;441.3333333333333;294.3333333333333;141.33333333333334;128.33333333333334;173.33333333333334;118.66666666666667;109.66666666666667;288.0;349.6666666666667;129.33333333333334;314.6666666666667;188.66666666666666;231.0;185.66666666666666;257.0;197.0;322.6666666666667;450.0;350.0;262.6666666666667;565.6666666666666;300.3333333333333;300.6666666666667;390.6666666666667;334.0;396.0;479.6666666666667;426.0;417.3333333333333;506.6666666666667;182.33333333333334;162.66666666666666;180.66666666666666;311.3333333333333;129.66666666666666;253.66666666666666;231.66666666666666;152.0;238.0;239.66666666666666;487.0;325.0;506.6666666666667;298.0;364.3333333333333;510.0;367.3333333333333;301.6666666666667;507.6666666666667;403.3333333333333;520.6666666666666;595.3333333333334;512.0;328.3333333333333;631.0;469.0;746.6666666666666;1055.3333333333333
5;6.0;215.25;331.6666666666667;130.66666666666666;202.0;333.0;188.33333333333334;448.3333333333333;277.3333333333333;358.6666666666667;414.25;360.0;214.0;485.75;335.3333333333333;1255.6666666666667;484.6666666666667;366.25;241.33333333333334;1074.0;745.3333333333334;1027.0;361.75;542.0;281.3333333333333;543.6666666666666;868.6666666666666;825.6666666666666;843.6666666666666;144.0;150.0;173.0;115.0;232.25;295.3333333333333;105.5;312.0;271.75;367.6666666666667;565.6666666666666;121.0;545.6;242.0;466.6666666666667;551.0;582.0;343.6666666666667;622.0;568.3333333333334;461.6;463.3333333333333;459.0;711.3333333333334;570.6666666666666;371.0;688.0;731.0;262.0;180.33333333333334;200.0;131.33333333333334;263.6666666666667;183.66666666666666;497.3333333333333;299.3333333333333;468.3333333333333;266.3333333333333;665.3333333333334;280.0;431.0;379.0;388.0;520.6666666666666;505.0;464.6666666666667;659.0;643.6666666666666;558.3333333333334;201.0;860.0;413.3333333333333;445.0;569.0;772.3333333333334;615.0;152.0;134.5;277.6666666666667;202.75;255.33333333333334;300.3333333333333;378.0;155.66666666666666;392.0;249.25;565.6666666666666;;371.3333333333333;289.6666666666667;339.5;679.0;331.0;552.0;535.0;885.6666666666666;581.5;356.6666666666667;466.0;348.0;723.0;936.3333333333334;634.5;651.25;250.33333333333334;200.2;102.0;126.75;183.75;261.0;269.5;184.5;454.3333333333333;;540.1666666666666;394.5;609.75;318.0;452.0;630.75;814.0;392.8;458.6666666666667;493.3333333333333;697.0;865.0;625.0;754.8;906.0;647.0;811.4;757.0
6;7.0;84.66666666666667;135.0;67.66666666666667;135.0;84.66666666666667;28.666666666666668;58.333333333333336;57.0;57.0;88.66666666666667;115.33333333333333;105.66666666666667;97.0;104.33333333333333;115.33333333333333;86.33333333333333;106.0;124.33333333333333;96.33333333333333;200.66666666666666;181.66666666666666;165.33333333333334;135.33333333333334;125.0;555.6666666666666;247.66666666666666;508.0;86.66666666666667;94.0;37.0;116.33333333333333;58.0;93.66666666666667;132.0;178.33333333333334;78.66666666666667;76.0;349.0;201.0;161.66666666666666;212.0;173.66666666666666;284.3333333333333;356.3333333333333;124.66666666666667;171.66666666666666;153.66666666666666;742.6666666666666;200.33333333333334;208.66666666666666;1124.3333333333333;342.6666666666667;767.6666666666666;468.0;735.3333333333334;731.3333333333334;67.0;113.33333333333333;109.66666666666667;77.33333333333333;114.33333333333333;133.66666666666666;125.66666666666667;143.0;172.0;154.33333333333334;152.0;86.33333333333333;164.33333333333334;356.6666666666667;593.0;978.3333333333334;645.0;167.0;491.0;240.33333333333334;260.6666666666667;341.0;458.6666666666667;222.0;296.3333333333333;764.3333333333334;407.0;808.6666666666666;374.6666666666667;127.33333333333333;64.33333333333333;133.33333333333334;471.0;201.66666666666666;197.66666666666666;150.33333333333334;201.66666666666666;207.66666666666666;447.0;66.66666666666667;299.3333333333333;279.3333333333333;449.3333333333333;618.3333333333334;219.0;162.0;208.33333333333334;810.0;115.33333333333333;299.6666666666667;296.6666666666667;276.6666666666667;348.6666666666667;369.3333333333333;422.0;558.0;75.66666666666667;69.0;112.0;253.66666666666666;124.33333333333333;144.66666666666666;181.0;176.33333333333334;467.6666666666667;268.3333333333333;551.0;124.33333333333333;1088.6666666666667;171.66666666666666;393.3333333333333;295.6666666666667;343.0;857.3333333333334;502.3333333333333;295.3333333333333;584.0;209.33333333333334;943.6666666666666;720.3333333333334;580.6666666666666;584.3333333333334;508.0;658.3333333333334
7;8.0;28.333333333333332;39.333333333333336;171.0;68.33333333333333;79.66666666666667;85.0;111.66666666666667;57.0;49.0;99.33333333333333;59.0;188.66666666666666;319.0;129.33333333333334;107.33333333333333;87.0;70.66666666666667;49.333333333333336;109.33333333333333;176.33333333333334;138.33333333333334;116.0;99.33333333333333;346.6666666666667;211.66666666666666;374.0;129.33333333333334;60.0;29.333333333333332;62.333333333333336;107.33333333333333;28.666666666666668;38.0;77.33333333333333;138.66666666666666;151.0;134.0;99.33333333333333;196.0;84.0;183.0;148.0;294.3333333333333;256.3333333333333;165.66666666666666;99.33333333333333;278.6666666666667;352.0;239.0;155.33333333333334;207.0;232.0;190.0;96.33333333333333;254.66666666666666;108.66666666666667;158.0;69.33333333333333;117.66666666666667;90.66666666666667;136.33333333333334;135.66666666666666;149.0;79.66666666666667;158.66666666666666;175.33333333333334;228.33333333333334;117.33333333333333;269.3333333333333;136.66666666666666;270.6666666666667;477.0;216.0;193.33333333333334;504.6666666666667;255.33333333333334;195.66666666666666;220.0;294.6666666666667;251.0;573.3333333333334;212.0;670.6666666666666;243.0;107.33333333333333;118.0;80.33333333333333;149.33333333333334;128.66666666666666;177.33333333333334;607.6666666666666;96.33333333333333;256.3333333333333;302.3333333333333;304.0;98.66666666666667;1183.0;205.66666666666666;282.3333333333333;297.3333333333333;208.33333333333334;203.0;350.0;429.6666666666667;283.0;237.33333333333334;397.6666666666667;294.3333333333333;257.6666666666667;185.66666666666666;1904.3333333333333;262.6666666666667;104.33333333333333;146.33333333333334;186.0;95.33333333333333;126.33333333333333;239.66666666666666;276.6666666666667;46.666666666666664;216.66666666666666;108.33333333333333;384.0;149.66666666666666;284.0;260.6666666666667;358.3333333333333;410.3333333333333;318.3333333333333;203.0;456.6666666666667;544.0;339.0;449.6666666666667;348.0;281.3333333333333;366.3333333333333;348.0;390.0;736.0
8;9.0;139.66666666666666;111.0;192.33333333333334;131.66666666666666;139.0;252.0;313.6666666666667;119.66666666666667;295.6666666666667;212.33333333333334;456.0;151.66666666666666;661.3333333333334;255.0;667.6666666666666;1826.3333333333333;386.0;420.3333333333333;180.0;791.0;435.0;411.0;860.0;499.3333333333333;625.0;893.6666666666666;873.3333333333334;2002.3333333333333;181.33333333333334;134.0;282.6666666666667;141.66666666666666;199.33333333333334;223.0;535.3333333333334;250.33333333333334;265.0;286.3333333333333;932.0;197.66666666666666;562.0;485.6666666666667;682.0;1001.0;464.6666666666667;847.0;872.6666666666666;1025.6666666666667;996.6666666666666;477.6666666666667;971.0;534.0;1079.0;1915.6666666666667;762.0;1249.3333333333333;233.66666666666666;230.33333333333334;209.33333333333334;260.6666666666667;192.0;432.3333333333333;369.3333333333333;221.0;354.6666666666667;448.6666666666667;793.6666666666666;303.0;400.6666666666667;775.3333333333334;434.3333333333333;936.0;536.0;636.0;800.3333333333334;1123.3333333333333;934.6666666666666;540.3333333333334;1392.0;1154.0;1283.6666666666667;2299.6666666666665;1875.3333333333333;4150.0;164.33333333333334;110.0;229.33333333333334;303.6666666666667;247.0;471.0;431.6666666666667;176.66666666666666;374.3333333333333;299.0;434.0;273.0;568.3333333333334;484.0;973.3333333333334;609.6666666666666;1035.0;434.3333333333333;818.3333333333334;912.3333333333334;716.0;527.3333333333334;1061.0;912.3333333333334;1245.6666666666667;986.3333333333334;2772.0;1331.3333333333333;183.66666666666666;252.33333333333334;217.66666666666666;230.66666666666666;220.0;400.6666666666667;316.6666666666667;173.33333333333334;241.33333333333334;253.33333333333334;701.3333333333334;154.33333333333334;422.6666666666667;322.6666666666667;523.6666666666666;518.0;473.3333333333333;295.6666666666667;835.0;615.3333333333334;308.3333333333333;457.6666666666667;772.0;335.6666666666667;701.3333333333334;587.0;845.3333333333334;465.3333333333333
